intdate,ri,cpi,cpi_lag,gdp,gdp_lag,inf,inf_lag,unp,unp_lag,dji_open,dji_open_lag,dji_close,dji_close_lag,dji_opcl_diff,dji_opcl_lag,dji_high,dji_high_lag,dji_low,dji_low_lag,dji_hilo_diff,dji_hilo_lag
19701231,f,16.79204445,,,,5.83825534,,,,838.92000000,,838.92000000,,0.00000000,,838.92000000,,838.92000000,,0.00000000,
19710104,f,16.83423552,16.79204445,1135.156,,4.29276669,5.83825534,5.994840596,,830.57000000,838.92000000,830.57000000,838.92000000,0.00000000,0.00000000,830.57000000,838.92000000,830.57000000,838.92000000,0.00000000,0.00000000
19710105,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,5.99747498,5.994840596,835.77000000,830.57000000,835.77000000,830.57000000,0.00000000,0.00000000,835.77000000,830.57000000,835.77000000,830.57000000,0.00000000,0.00000000
19710106,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,6.007435685,5.99747498,837.97000000,835.77000000,837.97000000,835.77000000,0.00000000,0.00000000,837.97000000,835.77000000,837.97000000,835.77000000,0.00000000,0.00000000
19710107,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,6.121166826,6.007435685,837.83000000,837.97000000,837.83000000,837.97000000,0.00000000,0.00000000,837.83000000,837.97000000,837.83000000,837.97000000,0.00000000,0.00000000
19710108,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,6.194005077,6.121166826,837.01000000,837.83000000,837.01000000,837.83000000,0.00000000,0.00000000,837.01000000,837.83000000,837.01000000,837.83000000,0.00000000,0.00000000
19710111,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,6.09518245,6.194005077,837.21000000,837.01000000,837.21000000,837.01000000,0.00000000,0.00000000,837.21000000,837.01000000,837.21000000,837.01000000,0.00000000,0.00000000
19710112,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,5.978583346,6.09518245,844.19000000,837.21000000,844.19000000,837.21000000,0.00000000,0.00000000,844.19000000,837.21000000,844.19000000,837.21000000,0.00000000,0.00000000
19710113,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,5.978583346,841.11000000,844.19000000,841.11000000,844.19000000,0.00000000,0.00000000,841.11000000,844.19000000,841.11000000,844.19000000,0.00000000,0.00000000
19710114,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,843.31000000,841.11000000,843.31000000,841.11000000,0.00000000,0.00000000,843.31000000,841.11000000,843.31000000,841.11000000,0.00000000,0.00000000
19710115,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,845.70000000,843.31000000,845.70000000,843.31000000,0.00000000,0.00000000,845.70000000,843.31000000,845.70000000,843.31000000,0.00000000,0.00000000
19710118,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,847.82000000,845.70000000,847.82000000,845.70000000,0.00000000,0.00000000,847.82000000,845.70000000,847.82000000,845.70000000,0.00000000,0.00000000
19710119,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,849.47000000,847.82000000,849.47000000,847.82000000,0.00000000,0.00000000,849.47000000,847.82000000,849.47000000,847.82000000,0.00000000,0.00000000
19710120,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,849.95000000,849.47000000,849.95000000,849.47000000,0.00000000,0.00000000,849.95000000,849.47000000,849.95000000,849.47000000,0.00000000,0.00000000
19710121,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,854.74000000,849.95000000,854.74000000,849.95000000,0.00000000,0.00000000,854.74000000,849.95000000,854.74000000,849.95000000,0.00000000,0.00000000
19710122,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,861.31000000,854.74000000,861.31000000,854.74000000,0.00000000,0.00000000,861.31000000,854.74000000,861.31000000,854.74000000,0.00000000,0.00000000
19710125,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,865.62000000,861.31000000,865.62000000,861.31000000,0.00000000,0.00000000,865.62000000,861.31000000,865.62000000,861.31000000,0.00000000,0.00000000
19710126,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,866.79000000,865.62000000,866.79000000,865.62000000,0.00000000,0.00000000,866.79000000,865.62000000,866.79000000,865.62000000,0.00000000,0.00000000
19710127,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,860.83000000,866.79000000,860.83000000,866.79000000,0.00000000,0.00000000,860.83000000,866.79000000,860.83000000,866.79000000,0.00000000,0.00000000
19710128,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,865.14000000,860.83000000,865.14000000,860.83000000,0.00000000,0.00000000,865.14000000,860.83000000,865.14000000,860.83000000,0.00000000,0.00000000
19710129,f,16.83423552,16.83423552,1135.156,1135.156,4.29276669,4.29276669,,,868.50000000,865.14000000,868.50000000,865.14000000,0.00000000,0.00000000,868.50000000,865.14000000,868.50000000,865.14000000,0.00000000,0.00000000
19710201,f,16.83423552,16.83423552,,1135.156,4.29276669,4.29276669,,,877.81000000,868.50000000,877.81000000,868.50000000,0.00000000,0.00000000,877.81000000,868.50000000,877.81000000,868.50000000,0.00000000,0.00000000
19710202,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,874.59000000,877.81000000,874.59000000,877.81000000,0.00000000,0.00000000,874.59000000,877.81000000,874.59000000,877.81000000,0.00000000,0.00000000
19710203,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,876.23000000,874.59000000,876.23000000,874.59000000,0.00000000,0.00000000,876.23000000,874.59000000,876.23000000,874.59000000,0.00000000,0.00000000
19710204,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,874.79000000,876.23000000,874.79000000,876.23000000,0.00000000,0.00000000,874.79000000,876.23000000,874.79000000,876.23000000,0.00000000,0.00000000
19710205,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,876.57000000,874.79000000,876.57000000,874.79000000,0.00000000,0.00000000,876.57000000,874.79000000,876.57000000,874.79000000,0.00000000,0.00000000
19710208,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,882.12000000,876.57000000,882.12000000,876.57000000,0.00000000,0.00000000,882.12000000,876.57000000,882.12000000,876.57000000,0.00000000,0.00000000
19710209,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,879.79000000,882.12000000,879.79000000,882.12000000,0.00000000,0.00000000,879.79000000,882.12000000,879.79000000,882.12000000,0.00000000,0.00000000
19710210,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,881.09000000,879.79000000,881.09000000,879.79000000,0.00000000,0.00000000,881.09000000,879.79000000,881.09000000,879.79000000,0.00000000,0.00000000
19710211,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,885.34000000,881.09000000,885.34000000,881.09000000,0.00000000,0.00000000,885.34000000,881.09000000,885.34000000,881.09000000,0.00000000,0.00000000
19710212,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,888.83000000,885.34000000,888.83000000,885.34000000,0.00000000,0.00000000,888.83000000,885.34000000,888.83000000,885.34000000,0.00000000,0.00000000
19710216,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,890.06000000,888.83000000,890.06000000,888.83000000,0.00000000,0.00000000,890.06000000,888.83000000,890.06000000,888.83000000,0.00000000,0.00000000
19710217,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,887.87000000,890.06000000,887.87000000,890.06000000,0.00000000,0.00000000,887.87000000,890.06000000,887.87000000,890.06000000,0.00000000,0.00000000
19710218,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,885.06000000,887.87000000,885.06000000,887.87000000,0.00000000,0.00000000,885.06000000,887.87000000,885.06000000,887.87000000,0.00000000,0.00000000
19710219,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,878.56000000,885.06000000,878.56000000,885.06000000,0.00000000,0.00000000,878.56000000,885.06000000,878.56000000,885.06000000,0.00000000,0.00000000
19710222,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,868.98000000,878.56000000,868.98000000,878.56000000,0.00000000,0.00000000,868.98000000,878.56000000,868.98000000,878.56000000,0.00000000,0.00000000
19710223,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,870.00000000,868.98000000,870.00000000,868.98000000,0.00000000,0.00000000,870.00000000,868.98000000,870.00000000,868.98000000,0.00000000,0.00000000
19710224,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,875.62000000,870.00000000,875.62000000,870.00000000,0.00000000,0.00000000,875.62000000,870.00000000,875.62000000,870.00000000,0.00000000,0.00000000
19710225,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,881.98000000,875.62000000,881.98000000,875.62000000,0.00000000,0.00000000,881.98000000,875.62000000,881.98000000,875.62000000,0.00000000,0.00000000
19710226,f,16.83423552,16.83423552,,,4.29276669,4.29276669,,,878.83000000,881.98000000,878.83000000,881.98000000,0.00000000,0.00000000,878.83000000,881.98000000,878.83000000,881.98000000,0.00000000,0.00000000
19710301,f,16.87642659,16.83423552,,,4.29276669,4.29276669,,,882.53000000,878.83000000,882.53000000,878.83000000,0.00000000,0.00000000,882.53000000,878.83000000,882.53000000,878.83000000,0.00000000,0.00000000
19710302,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,883.01000000,882.53000000,883.01000000,882.53000000,0.00000000,0.00000000,883.01000000,882.53000000,883.01000000,882.53000000,0.00000000,0.00000000
19710303,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,882.39000000,883.01000000,882.39000000,883.01000000,0.00000000,0.00000000,882.39000000,883.01000000,882.39000000,883.01000000,0.00000000,0.00000000
19710304,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,891.36000000,882.39000000,891.36000000,882.39000000,0.00000000,0.00000000,891.36000000,882.39000000,891.36000000,882.39000000,0.00000000,0.00000000
19710305,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,898.00000000,891.36000000,898.00000000,891.36000000,0.00000000,0.00000000,898.00000000,891.36000000,898.00000000,891.36000000,0.00000000,0.00000000
19710308,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,898.62000000,898.00000000,898.62000000,898.00000000,0.00000000,0.00000000,898.62000000,898.00000000,898.62000000,898.00000000,0.00000000,0.00000000
19710309,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,899.10000000,898.62000000,899.10000000,898.62000000,0.00000000,0.00000000,899.10000000,898.62000000,899.10000000,898.62000000,0.00000000,0.00000000
19710310,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,895.88000000,899.10000000,895.88000000,899.10000000,0.00000000,0.00000000,895.88000000,899.10000000,895.88000000,899.10000000,0.00000000,0.00000000
19710311,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,899.44000000,895.88000000,899.44000000,895.88000000,0.00000000,0.00000000,899.44000000,895.88000000,899.44000000,895.88000000,0.00000000,0.00000000
19710312,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,898.34000000,899.44000000,898.34000000,899.44000000,0.00000000,0.00000000,898.34000000,899.44000000,898.34000000,899.44000000,0.00000000,0.00000000
19710315,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,908.20000000,898.34000000,908.20000000,898.34000000,0.00000000,0.00000000,908.20000000,898.34000000,908.20000000,898.34000000,0.00000000,0.00000000
19710316,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,914.64000000,908.20000000,914.64000000,908.20000000,0.00000000,0.00000000,914.64000000,908.20000000,914.64000000,908.20000000,0.00000000,0.00000000
19710317,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,914.02000000,914.64000000,914.02000000,914.64000000,0.00000000,0.00000000,914.02000000,914.64000000,914.02000000,914.64000000,0.00000000,0.00000000
19710318,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,916.83000000,914.02000000,916.83000000,914.02000000,0.00000000,0.00000000,916.83000000,914.02000000,916.83000000,914.02000000,0.00000000,0.00000000
19710319,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,912.92000000,916.83000000,912.92000000,916.83000000,0.00000000,0.00000000,912.92000000,916.83000000,912.92000000,916.83000000,0.00000000,0.00000000
19710322,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,910.60000000,912.92000000,910.60000000,912.92000000,0.00000000,0.00000000,910.60000000,912.92000000,910.60000000,912.92000000,0.00000000,0.00000000
19710323,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,908.89000000,910.60000000,908.89000000,910.60000000,0.00000000,0.00000000,908.89000000,910.60000000,908.89000000,910.60000000,0.00000000,0.00000000
19710324,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,899.37000000,908.89000000,899.37000000,908.89000000,0.00000000,0.00000000,899.37000000,908.89000000,899.37000000,908.89000000,0.00000000,0.00000000
19710325,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,900.81000000,899.37000000,900.81000000,899.37000000,0.00000000,0.00000000,900.81000000,899.37000000,900.81000000,899.37000000,0.00000000,0.00000000
19710326,f,16.87642659,16.87642659,,,4.29276669,4.29276669,,,903.48000000,900.81000000,903.48000000,900.81000000,0.00000000,0.00000000,903.48000000,900.81000000,903.48000000,900.81000000,0.00000000,0.00000000
